from	to	value
37	1	1
49	1	1
65	1	1
126	1	1
127	1	1
59	2	1
26	3	1
24	7	1
97	7	1
98	7	1
101	7	1
115	7	1
116	7	1
125	7	1
128	7	1
140	7	1
142	7	1
31	9	1
64	9	1
123	9	1
124	9	1
139	9	1
53	10	1
60	10	1
79	10	1
84	10	1
113	10	1
149	10	1
108	11	1
92	12	1
15	13	1
71	14	1
31	15	1
96	15	1
59	18	1
44	20	1
149	20	1
44	21	1
54	21	1
88	21	1
122	21	1
39	22	1
44	23	1
33	24	1
41	24	1
56	24	1
94	24	1
104	24	1
112	24	1
143	24	1
59	25	1
85	25	1
110	26	1
149	26	1
86	28	1
86	29	1
32	30	1
86	31	1
90	31	1
103	31	1
105	31	1
137	31	1
148	31	1
80	34	1
81	34	1
50	35	1
59	39	1
44	43	1
78	44	1
135	44	1
86	46	1
53	51	1
90	52	1
89	53	1
106	53	1
131	53	1
120	57	1
134	57	1
75	59	1
131	62	1
136	63	1
68	67	1
118	77	1
87	81	1
102	86	1
133	86	1
111	89	1
104	91	1
149	93	1
145	94	1
100	99	1
107	105	1
136	114	1
55	1	2
59	1	2
80	1	2
31	6	2
44	6	2
53	8	2
53	11	2
16	14	2
83	14	2
90	14	2
121	15	2
144	15	2
90	19	2
40	25	2
147	26	2
29	27	2
109	27	2
150	27	2
59	35	2
58	42	2
48	47	2
90	47	2
57	53	2
130	53	2
61	59	2
82	59	2
74	63	2
137	70	2
139	74	2
92	90	2
119	109	2
36	1	3
107	4	3
14	5	3
38	6	3
70	17	3
118	31	3
146	90	3
129	95	3
141	137	3
115	6	4
117	6	4
100	31	4
53	32	4
95	69	4
68	6	5
82	6	5
95	6	5
45	31	5
66	31	5
132	68	5
138	6	7
76	58	7
129	72	7
149	73	7
65	42	8
